antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
카키,베이지,0.040549031167098466,0.19588614468111512,0.005553917994384027,0.13696795791487326,0.6992222861797841,1.0,-0.0023890753914932693,0.931731171158034,-0.30955444483511263,0.024055300313290052,-0.07327095084423942,0.08266037209495358
블루,카키,0.14716913076529267,0.040549031167098466,0.003535192913324749,0.024021293697539893,0.5924011747296888,1.0,-0.0024323727569118933,0.9830654732907291,-0.4465286025253947,0.01919391859167386,-0.017226245015587716,0.05560222982342322
카키,블루,0.040549031167098466,0.14716913076529267,0.003535192913324749,0.08718316594930656,0.5924011747296888,1.0,-0.0024323727569118933,0.9342847737044967,-0.41763085878637457,0.01919391859167386,-0.07033746898703944,0.05560222982342322
카키,화이트,0.040549031167098466,0.4364285825098124,0.013496951550598055,0.33285509325681495,0.7626794087193663,1.0,-0.004199804643804933,0.8447511354637866,-0.24489416650651422,0.029120851533865545,-0.18378059290915122,0.18189050218574038
화이트,카키,0.4364285825098124,0.040549031167098466,0.013496951550598055,0.030925911114665815,0.7626794087193663,1.0,-0.004199804643804933,0.9900697788096867,-0.3557257034894658,0.029120851533865545,-0.010029819516612129,0.18189050218574038
스카이블루,카키,0.13534766285545852,0.040549031167098466,0.0023658449557082796,0.017479762160613223,0.43107718378229276,1.0,-0.0031223716438116434,0.9765203116251164,-0.6041734935049397,0.013633569872045594,-0.024044239628573452,0.037912525747929755
카키,스카이블루,0.040549031167098466,0.13534766285545852,0.0023658449557082796,0.05834528933524629,0.43107718378229276,1.0,-0.0031223716438116434,0.9182265296948889,-0.5790443741584379,0.013633569872045594,-0.08905587854478898,0.037912525747929755
실버,화이트,0.029419863789385502,0.4364285825098124,0.007351572317286958,0.2498846483422319,0.5725671011398838,1.0,-0.005488097133946315,0.7513130030530436,-0.4347563018673008,0.016034072933672823,-0.3310031850059686,0.1333647472340253
화이트,실버,0.4364285825098124,0.029419863789385502,0.007351572317286958,0.016844846125818692,0.5725671011398837,1.0,-0.005488097133946315,0.987209528817487,-0.5698228917932181,0.016034072933672823,-0.012956186917921891,0.1333647472340253
블랙,실버,0.2714826478847019,0.029419863789385502,0.007155711382429141,0.026357895939883996,0.8959217530229951,1.0,-0.0008312711395204956,0.996855140264854,-0.1375290553861285,0.024360133881711418,-0.0031547810791349882,0.13479255287403533
실버,블랙,0.029419863789385502,0.2714826478847019,0.007155711382429141,0.24322720980818666,0.8959217530229951,1.0,-0.0008312711395204956,0.9626632478826921,-0.10689579522392835,0.024360133881711418,-0.038784852542597247,0.13479255287403533
실버,블루,0.029419863789385502,0.14716913076529267,0.0023057292232271675,0.07837321204930459,0.5325383906377436,1.0,-0.0020239665578900066,0.9253538204233832,-0.4749019972170894,0.013229779800384986,-0.08066771642274452,0.04702020948224278
블루,실버,0.14716913076529267,0.029419863789385502,0.0023057292232271675,0.015667206915180983,0.5325383906377436,1.0,-0.0020239665578900066,0.986028447928566,-0.5072135657012441,0.013229779800384986,-0.014169522289935073,0.04702020948224278
스카이블루,퍼플,0.13534766285545852,0.017421927116461625,0.002026481949766518,0.014972419227738376,0.8594008646489653,1.0,-0.0003315351678847005,0.9975132595913682,-0.1591060123433299,0.013443280932410527,-0.002492939702526398,0.06564515885696803
퍼플,스카이블루,0.017421927116461625,0.13534766285545852,0.002026481949766518,0.11631789848619768,0.8594008646489653,1.0,-0.0003315351678847005,0.9784653730830786,-0.14273624220837045,0.013443280932410527,-0.022008573332612972,0.06564515885696803
퍼플,화이트,0.017421927116461625,0.4364285825098124,0.006096898803890845,0.34995547640249336,0.8018619550304663,1.0,-0.0015065281521357658,0.8669735641664119,-0.20094524614741766,0.013616637937754987,-0.15343770713642457,0.18196272847024877
화이트,퍼플,0.4364285825098124,0.017421927116461625,0.006096898803890845,0.013969980538004212,0.8018619550304662,1.0,-0.0015065281521357658,0.9964991465672203,-0.3048068828777897,0.013616637937754987,-0.0035131524646454843,0.18196272847024877
블랙,퍼플,0.2714826478847019,0.017421927116461625,0.0020924153337780606,0.007707363067516216,0.44239440424668547,1.0,-0.0026373355710532305,0.9902099807180103,-0.6337164670775177,0.007295420585391581,-0.009886811355800367,0.0639048836708908
퍼플,블랙,0.017421927116461625,0.2714826478847019,0.0020924153337780606,0.12010240427426537,0.44239440424668547,1.0,-0.0026373355710532305,0.827956975509657,-0.5619366455011339,0.007295420585391581,-0.20779222783217724,0.0639048836708908
핑크,화이트,0.08709606106207046,0.4364285825098124,0.03025372717541383,0.34736045243025404,0.7959159100732001,1.0,-0.007757483296093652,0.8635263057361079,-0.2192851893951676,0.0613328825393331,-0.15804231250089817,0.20834079656713145
화이트,핑크,0.4364285825098124,0.08709606106207046,0.03025372717541383,0.06932114070400883,0.7959159100732002,1.0,-0.007757483296093652,0.9809011237544308,-0.3127056744978973,0.0613328825393331,-0.019470745606313122,0.20834079656713145
핑크,네이비,0.08709606106207046,0.09379605640794923,0.004041328596472176,0.046400819361877406,0.4946990432099332,1.0,-0.004127938459815976,0.9502985761645095,-0.5280528190740204,0.022851628891301247,-0.05230085057697334,0.044743578718318786
네이비,핑크,0.09379605640794923,0.08709606106207046,0.004041328596472176,0.04308633807476017,0.49469904320993313,1.0,-0.004127938459815976,0.9540086794259307,-0.5298882036076554,0.022851628891301247,-0.04820849282183086,0.044743578718318786
핑크,스카이블루,0.08709606106207046,0.13534766285545852,0.009909399773499434,0.11377552156391246,0.8406168171918599,1.0,-0.0018788485351681067,0.9756583779658013,-0.17197417089115152,0.04662493841128488,-0.024948919195415187,0.093494967601929
스카이블루,핑크,0.13534766285545852,0.08709606106207046,0.009909399773499434,0.07321441363994555,0.8406168171918599,1.0,-0.0018788485351681067,0.9850217271109653,-0.17984515964781536,0.04662493841128488,-0.015206033000881554,0.093494967601929
핑크,블루,0.08709606106207046,0.14716913076529267,0.010322453032159978,0.11851802373477613,0.8053185006833415,1.0,-0.0024953985674257845,0.9674966615291339,-0.20936647863961744,0.046094162676111224,-0.03359529780650034,0.09432904652235374
블루,핑크,0.14716913076529267,0.08709606106207046,0.010322453032159978,0.07014006930993136,0.8053185006833417,1.0,-0.0024953985674257845,0.9817650043920532,-0.22085703912121948,0.046094162676111224,-0.01857368670340679,0.09432904652235374
핑크,베이지,0.08709606106207046,0.19588614468111512,0.005790502489954855,0.06648409146572262,0.3394017048727601,1.0,-0.011270409128405118,0.8613820589104176,-0.6807207767828036,0.020889883867356934,-0.16092503861169752,0.04802232153894567
베이지,핑크,0.19588614468111512,0.08709606106207046,0.005790502489954855,0.02956055161216873,0.33940170487276006,1.0,-0.011270409128405118,0.9407119016591049,-0.7076454606589961,0.020889883867356934,-0.06302471376872185,0.04802232153894567
블랙,핑크,0.2714826478847019,0.08709606106207046,0.010847980887075505,0.03995828452241493,0.4587840602106907,1.0,-0.012797088390383066,0.9509002829984254,-0.6182159135216371,0.03119649778323063,-0.05163497990215216,0.08225509799785387
핑크,블랙,0.08709606106207046,0.2714826478847019,0.010847980887075505,0.12455191147329281,0.4587840602106907,1.0,-0.012797088390383066,0.8321651068326861,-0.5637421073104876,0.03119649778323063,-0.20168460776505323,0.08225509799785387
블랙,블루,0.2714826478847019,0.14716913076529267,0.016446500876526163,0.06058030229435127,0.4116372909137145,1.0,-0.023507364430525434,0.9078273228862266,-0.662385912405686,0.04089081318766091,-0.10153106740688501,0.08616634199984591
블루,블랙,0.14716913076529267,0.2714826478847019,0.016446500876526163,0.11175238170534055,0.4116372909137145,1.0,-0.023507364430525434,0.8201737185785801,-0.6263044201896637,0.04089081318766091,-0.21925389383735885,0.08616634199984591
베이지,블루,0.19588614468111512,0.14716913076529267,0.017387021207279047,0.08876085256353143,0.6031214025792436,1.0,-0.011441372434405024,0.9359023606853617,-0.4500487655862327,0.053388750610344295,-0.06848752819439363,0.10345198944472311
블루,베이지,0.14716913076529267,0.19588614468111512,0.017387021207279047,0.11814312632591481,0.6031214025792437,1.0,-0.011441372434405024,0.9118416823908181,-0.43553725554621947,0.053388750610344295,-0.09668160527388252,0.10345198944472311
블루,화이트,0.14716913076529267,0.4364285825098124,0.05215718518748352,0.35440302539168017,0.8120527380529939,1.0,-0.012071629941614391,0.8729461872588595,-0.21345735771566882,0.09814303281529944,-0.145545985073951,0.2369560604932576
화이트,블루,0.4364285825098124,0.14716913076529267,0.05215718518748352,0.11950909559483502,0.8120527380529939,1.0,-0.012071629941614391,0.9685856662095289,-0.29112165846352156,0.09814303281529944,-0.0324332011988245,0.2369560604932576
블랙,레드,0.2714826478847019,0.030354566468607954,0.004976031275694627,0.018329095117003345,0.6038332036782309,1.0,-0.0032647068045952455,0.9877499971815525,-0.47384418604910633,0.016762148638320387,-0.01240192645244411,0.09112966606613598
레드,블랙,0.030354566468607954,0.2714826478847019,0.004976031275694627,0.16393023701526863,0.6038332036782309,1.0,-0.0032647068045952455,0.8713595256866173,-0.4035637547686998,0.016762148638320387,-0.14763191371783768,0.09112966606613598
레드,화이트,0.030354566468607954,0.4364285825098124,0.008701267472346763,0.2866543154666837,0.6568183821008989,1.0,-0.004546332944247689,0.7900397096519708,-0.35016297013907016,0.01899500465667598,-0.26575916094207613,0.15329587635198447
화이트,레드,0.4364285825098124,0.030354566468607954,0.008701267472346763,0.019937437237285274,0.6568183821008989,1.0,-0.004546332944247689,0.9893709548480685,-0.4810873961109285,0.01899500465667598,-0.010743235487000753,0.15329587635198447
레드,블루,0.030354566468607954,0.14716913076529267,0.005427868877891373,0.17881556251197853,1.215034440864885,1.0,0.0009606137159490413,1.0385375444321514,0.18251832689736144,0.03153980505943997,0.03710751203821218,0.10784870310442979
